,year,ranking,number
228,1980,229,1116
19699,1981,244,1025
39165,1982,228,1127
58864,1983,228,1089
78272,1984,222,1166
97816,1985,248,1025
117875,1986,215,1234
138488,1987,166,1699
159872,1988,134,2141
182234,1989,122,2438
205965,1990,72,4628
230675,1991,61,5601
255786,1992,58,5811
281210,1993,50,6342
307178,1994,50,6432
333166,1995,39,7625
359244,1996,34,8124
385664,1997,27,9478
412633,1998,21,10610
440542,1999,20,11256
469096,2000,16,12854
498867,2001,10,13977
529148,2002,10,14630
559716,2003,5,16152
590911,2004,4,16107
622972,2005,5,15699
655536,2006,7,15506
689638,2007,7,16587
724610,2008,4,17087
759704,2009,3,17441
794434,2010,4,17035
828535,2011,4,17333
862476,2012,4,17331
896251,2013,3,18448
929586,2014,2,19833
962889,2015,2,19721
996073,2016,2,19404
1029145,2017,2,18771
1061832,2018,2,18050
1094075,2019,1,18561
1126201,2020,1,17677
1157751,2021,1,17824
1189480,2022,1,16630
1221522,2023,1,15270
